Gitter_ID_1km *;x_mp_1km_1;y_mp_1km_1;Einwohner;Alter_D;unter18_A;ab65_A;Auslaender_A;HHGroesse_D;Leerstandsquote;Wohnfl_Bew_D;Wohnfl_Whg_D
1kmN3382E4323;4323500;3382500;2372;38.7;7;10.7;26.1;1.6;0.7;35.5;55
1kmN3377E4320;4320500;3377500;6475;38.71;21.98;17.34;31;2.18;7.9;28.3;56.1
1kmN3380E4330;4330500;3380500;8088;38.74;22.11;15.21;25.98;2.34;0.6;31;72
1kmN3390E4329;4329500;3390500;5693;38.8;21.66;16.02;13.3;2.16;0.8;32.9;70
1kmN3373E4322;4322500;3373500;100;38.88;18;14;3;2.2;0;43;-9
1kmN3382E4316;4316500;3382500;13401;38.9;15.48;10.84;13.07;1.88;2.3;38;68
1kmN3368E4338;4338500;3368500;251;38.92;24.7;16.33;1;2.6;0;-9;-9
1kmN3376E4315;4315500;3376500;59;39;16.95;11.86;6.78;1.9;0;43;80
1kmN3381E4316;4316500;3381500;183;39;1;1;91.8;1.89;25;-9;-9
1kmN3384E4318;4318500;3384500;14339;39;13.2;11.88;12.4;1.73;1.2;38;-9
1kmN3386E4322;4322500;3386500;11155;39.09;10.17;11.72;9.74;1.53;1.73;39;60
1kmN3380E4331;4331500;3380500;3798;39.1;21.01;14.03;21.4;2.41;0;30.9;74
1kmN3382E4326;4326500;3382500;10592;39.1;12.62;14.6;19;1.69;1.95;33.2;55
1kmN3384E4317;4317500;3384500;13242;39.12;14.42;13;19.1;1.85;0.75;34;61
1kmN3365E4331;4331500;3365500;266;39.2;18.42;13;4;2.4;0;47;-9
1kmN3384E4319;4319500;3384500;11115;39.27;12.65;12.3;12.4;1.7;1.6;42.59;70
1kmN3373E4332;4332500;3373500;222;39.3;21.17;13.96;6.76;2.7;6;43;-9
1kmN3374E4325;4325500;3374500;229;39.3;23.58;14.85;3.93;2.5;2;43;-9
1kmN3381E4319;4319500;3381500;790;39.3;10.89;10.76;33.42;1.6;0.96;33;53
1kmN3394E4323;4323500;3394500;162;39.3;24.69;13.58;1.85;3;3;41;-9
1kmN3380E4329;4329500;3380500;5802;39.33;19.7;15.05;21.8;2.21;1.5;31;68
1kmN3385E4317;4317500;3385500;20088;39.38;9.49;10.93;9.3;1.54;0.81;38;57
1kmN3376E4320;4320500;3376500;2214;39.4;18.43;16.4;22.6;2.12;1.4;32;67
1kmN3383E4314;4314500;3383500;4052;39.4;20.66;15.7;19.9;2.11;0.7;38.3;79.9
1kmN3387E4312;4312500;3387500;4889;39.4;20.27;15.6;13.21;2.3;1.8;38;-9
1kmN3387E4327;4327500;3387500;5930;39.4;20.51;16.9;11.8;2.13;0.8;33;69
1kmN3375E4332;4332500;3375500;6409;39.44;20.3;14.18;13.45;2.29;0.64;32;72
1kmN3374E4313;4313500;3374500;7188;39.45;21.87;16.71;11.4;2.47;1.1;33;79
1kmN3387E4323;4323500;3387500;9422;39.45;9.56;13.17;9.2;1.52;0.99;37.4;56
1kmN3386E4325;4325500;3386500;10815;39.5;14.37;15.23;20.8;1.66;1.61;33;54
1kmN3387E4324;4324500;3387500;10704;39.5;8.21;13;10.7;1.44;2.02;36;51
1kmN3394E4320;4320500;3394500;1983;39.59;20.68;15.58;9.8;2.41;0.5;35;-9
1kmN3372E4318;4318500;3372500;11342;39.7;14.6;16.13;17.5;1.78;1.77;35.3;60.9
1kmN3374E4337;4337500;3374500;371;39.7;22.1;14.02;3;2.5;1;44;-9
1kmN3382E4327;4327500;3382500;9904;39.7;17.63;15.8;26.2;2.04;1.9;30.1;60
1kmN3383E4327;4327500;3383500;5493;39.7;14.95;19.66;14.5;2.1;1.1;34;71
1kmN3380E4324;4324500;3380500;3458;39.8;17.44;17.29;23.97;1.86;0.23;30.2;56.7
1kmN3381E4320;4320500;3381500;1774;39.8;12.23;11.1;16.5;1.78;1.7;50;-9
1kmN3382E4324;4324500;3382500;8016;39.8;14.21;16.04;20.7;1.81;0.39;33.6;59
1kmN3384E4315;4315500;3384500;3902;39.8;12.3;14.17;11.07;1.7;1.3;37;62
1kmN3388E4323;4323500;3388500;6646;39.85;8.52;14;11.22;1.49;2.87;38;55
1kmN3372E4337;4337500;3372500;122;39.9;22.13;11.48;2.46;2.4;0;-9;-9
1kmN3377E4326;4326500;3377500;233;40;19.74;15.02;7;2.6;3;41;-9
1kmN3386E4317;4317500;3386500;7401;40;17.9;16.46;18.2;1.95;0.5;35;68
1kmN3391E4314;4314500;3391500;3368;40;20.5;15.4;6.8;2.29;1.1;43.1;96
1kmN3389E4322;4322500;3389500;3155;40.07;18.9;15.2;10.2;1.95;1.2;41;82
1kmN3371E4336;4336500;3371500;1049;40.1;21.26;15.5;2.7;2.5;1;39.7;99
1kmN3376E4327;4327500;3376500;52;40.1;21.15;17.31;8;3.1;16.67;39;-9
1kmN3385E4327;4327500;3385500;4801;40.15;16.5;15.93;13.2;1.94;1.1;39;74
1kmN3385E4318;4318500;3385500;17388;40.19;12.98;13.22;7.4;1.73;1.4;41;69
1kmN3384E4303;4303500;3384500;230;40.2;24.35;21;9;2.4;2;54;-9
1kmN3395E4329;4329500;3395500;890;40.2;20.56;15.28;3.03;2.28;1.04;43;-9
1kmN3377E4325;4325500;3377500;140;40.21;22.14;14.29;1;2.7;0;37.2;-9
1kmN3382E4320;4320500;3382500;4974;40.24;2.47;2.29;87.1;1.9;3.64;43;-9
1kmN3396E4321;4321500;3396500;1949;40.27;18.3;16.42;23;2.2;1;39;-9
1kmN3385E4324;4324500;3385500;7838;40.28;9.77;14.89;9.03;1.51;0.65;38;55
1kmN3383E4326;4326500;3383500;5180;40.3;16;17.6;17.3;1.93;0.6;33;63
1kmN3390E4323;4323500;3390500;968;40.3;14.57;12.81;10.7;1.8;0.4;39;70
1kmN3383E4311;4311500;3383500;2061;40.31;25.76;20.33;8.1;2.53;1.98;-9;-9
1kmN3398E4326;4326500;3398500;1189;40.31;20.19;12.7;2.78;2.91;1;46;132
1kmN3382E4317;4317500;3382500;13474;40.33;13.11;14.75;18.9;1.72;0.7;34;57
1kmN3377E4322;4322500;3377500;1636;40.38;19.87;18.22;15.8;2.34;1.9;38;84
1kmN3384E4314;4314500;3384500;5767;40.39;13.47;15.5;13.8;1.8;1.1;38;67
1kmN3372E4328;4328500;3372500;30;40.4;20;20;0;2.7;0;-9;-9
1kmN3373E4308;4308500;3373500;1179;40.4;20.6;18.74;16.28;2.3;3.1;29;64.9
1kmN3374E4330;4330500;3374500;147;40.4;20.41;12.93;1;2.7;0;41;-9
1kmN3387E4313;4313500;3387500;6559;40.4;20.26;17.91;20;2.19;1.14;32;69
1kmN3388E4312;4312500;3388500;5761;40.4;19.88;18.28;13.3;2.22;0.8;35;76
1kmN3369E4316;4316500;3369500;80;40.46;20;20;3.75;2.7;0;45;124
1kmN3374E4312;4312500;3374500;8994;40.5;22.08;19.37;15;2.37;0.6;30.7;71.9
1kmN3376E4314;4314500;3376500;90;40.5;17.78;15.56;7;2.8;13.16;-9;-9
1kmN3386E4323;4323500;3386500;8926;40.5;11.25;14.12;8.5;1.59;1.2;38;58
1kmN3375E4321;4321500;3375500;3234;40.54;19.73;17.9;16.1;2.43;2;33;75
